M0,H,T,Loss
Mean,0,0,0.011470073891844262
Mean,0,1,0.0015236927401401836
Mean,0,2,0.012492600638287357
Mean,0,3,0.029115966933875158
Mean,0,4,0.018385772476280354
Mean,0,5,0.008115107837433036
Mean,0,6,0.002704486909076081
Mean,0,7,-0.004339976256138111
Mean,0,8,0.0013491949382960135
Mean,0,9,-0.003309911798418369
Mean,0,10,-0.0013407304172078785
Mean,0,11,0.001194630817780198
Mean,0,12,0.008774975614745235
Mean,0,13,-0.0004979500278545629
Mean,0,14,0.006653210136725897
Mean,0,15,-0.004965350566627285
Mean,0,16,-0.0019005457419318554
Mean,0,17,0.0017185276292484043
Mean,0,18,0.004500371445944512
Mean,0,19,0.005100441272497996
Mean,0,20,-0.002497679376756496
Mean,0,21,0.00477675466946661
Mean,0,22,-0.0017665429386052684
Mean,0,23,-0.0009491260583610441
Mean,0,24,0.00965454228572985
Mean,0,25,-0.00671176845511886
Mean,0,26,-0.005466024298922463
Mean,0,27,0.0016915858310505207
Mean,0,28,-0.001945686240862385
Mean,0,29,0.00039055954467497305
Mean,0,30,0.002941480043652901
Mean,0,31,0.00468015617782056
Mean,0,32,0.0002219200444139452
Mean,0,33,0.0030749911216127316
Mean,0,34,7.214819931143819e-05
Mean,0,35,0.0011080490235111824
Mean,0,36,0.0013461637028608225
Mean,0,37,0.00045998334887780313
Mean,0,38,-0.0011279230910340764
Mean,0,39,-0.0033120532988983814
Mean,1,0,0.0016808170400284617
Mean,1,1,0.012513191080721683
Mean,1,2,0.029282534942385655
Mean,1,3,0.01876887730435766
Mean,1,4,0.008353884103358755
Mean,1,5,0.002808526753145736
Mean,1,6,-0.0043057422446308195
Mean,1,7,0.0012949452350942891
Mean,1,8,-0.0032932550707850854
Mean,1,9,-0.0013810951952373703
Mean,1,10,0.0011784774392596216
Mean,1,11,0.008789197410194998
Mean,1,12,-0.0003947150206222664
Mean,1,13,0.006647420020122937
Mean,1,14,-0.004888876886894804
Mean,1,15,-0.001956970180188984
Mean,1,16,0.0016971731827098435
Mean,1,17,0.004519466197380605
Mean,1,18,0.005149895903772112
Mean,1,19,-0.0024422397977076045
Mean,1,20,0.004749897901974605
Mean,1,21,-0.0017157263995683895
Mean,1,22,-0.0009677212471884689
Mean,1,23,0.009644655555955256
Mean,1,24,-0.00661223709134845
Mean,1,25,-0.005534511732137961
Mean,1,26,0.001636373464394738
Mean,1,27,-0.0019287703825518789
Mean,1,28,0.0003712953244684146
Mean,1,29,0.0029453090587967727
Mean,1,30,0.004708714236496801
Mean,1,31,0.00026692154612375976
Mean,1,32,0.0030771046458452447
Mean,1,33,0.00010115754951533183
Mean,1,34,0.0011087233057477386
Mean,1,35,0.0013564234160414823
Mean,1,36,0.0004723334745921218
Mean,1,37,-0.0011237414242260962
Mean,1,38,-0.003322214768186977
Mean,1,39,-0.001551587419933581
Mean,2,0,0.012670315380609962
Mean,2,1,0.02930312538481998
Mean,2,2,0.018935445312868157
Mean,2,3,0.00873698893143606
Mean,2,4,0.0030473030190714544
Mean,2,5,-0.004201702400561165
Mean,2,6,0.001329179246601581
Mean,2,7,-0.00334750477398681
Mean,2,8,-0.0013644384676040865
Mean,2,9,0.0011381126612301298
Mean,2,10,0.00877304403167442
Mean,2,11,-0.00038049322517250215
Mean,2,12,0.006750655027355234
Mean,2,13,-0.004894667003497763
Mean,2,14,-0.0018804965004565024
Mean,2,15,0.0016407487444527148
Mean,2,16,0.004498111750842044
Mean,2,17,0.005168990655208205
Mean,2,18,-0.002392785166433489
Mean,2,19,0.004805337481023496
Mean,2,20,-0.0017425831670603948
Mean,2,21,-0.00091690470815159
Mean,2,22,0.00962606036712783
Mean,2,23,-0.006622123821123043
Mean,2,24,-0.005434980368367551
Mean,2,25,0.0015678860311792399
Mean,2,26,-0.0019839827492076616
Mean,2,27,0.00038821118277892076
Mean,2,28,0.0029260448385902142
Mean,2,29,0.004712543251640673
Mean,2,30,0.0002954796048000013
Mean,2,31,0.0031221061475550592
Mean,2,32,0.0001032710737478449
Mean,2,33,0.0011377326559516322
Mean,2,34,0.0013570976982780385
Mean,2,35,0.0004825931877727816
Mean,2,36,-0.0011113912985117776
Mean,2,37,-0.003318033101378997
Mean,2,38,-0.0015617488892221768
Mean,2,39,-0.0022565280540044813
Mean,3,0,0.02946024968470826
Mean,3,1,0.018956035755302483
Mean,3,2,0.008903556939946556
Mean,3,3,0.0034304078471487595
Mean,3,4,-0.003962926134635446
Mean,3,5,0.0014332190906712356
Mean,3,6,-0.003313270762479518
Mean,3,7,-0.0014186881708058109
Mean,3,8,0.0011547693888634136
Mean,3,9,0.00873267925364493
Mean,3,10,-0.00039664660369307866
Mean,3,11,0.006764876822804998
Mean,3,12,-0.0047914319962654665
Mean,3,13,-0.0018862866170594617
Mean,3,14,0.0017172224241851965
Mean,3,15,0.004441687312584915
Mean,3,16,0.005147636208669644
Mean,3,17,-0.002373690414997396
Mean,3,18,0.0048547921122976114
Mean,3,19,-0.0016871435880115035
Mean,3,20,-0.0009437614756435952
Mean,3,21,0.00967687690616471
Mean,3,22,-0.006640719009950468
Mean,3,23,-0.0054448670981421445
Mean,3,24,0.0016674173949496503
Mean,3,25,-0.0020524701824231597
Mean,3,26,0.00033299881612313797
Mean,3,27,0.0029429606969007204
Mean,3,28,0.004693279031434114
Mean,3,29,0.000299308619943873
Mean,3,30,0.0031506642062313008
Mean,3,31,0.00014827257545765946
Mean,3,32,0.0011398461801841453
Mean,3,33,0.0013861070484819321
Mean,3,34,0.00048326747000933777
Mean,3,35,-0.0011011315853311178
Mean,3,36,-0.0033056829756646783
Mean,3,37,-0.0015575672224141966
Mean,3,38,-0.002266689523293077
Mean,3,39,0.001240053907736619
Mean,4,0,0.019113160055190762
Mean,4,1,0.008924147382380882
Mean,4,2,0.003596975855659257
Mean,4,3,-0.0035798213065581412
Mean,4,4,0.0016719953565969541
Mean,4,5,-0.0032092309184098633
Mean,4,6,-0.001384454159298519
Mean,4,7,0.0011005196856616892
Mean,4,8,0.008749335981278214
Mean,4,9,-0.0004370113817225704
Mean,4,10,0.006748723444284422
Mean,4,11,-0.004777210200815702
Mean,4,12,-0.0017830516098271652
Mean,4,13,0.0017114323075822372
Mean,4,14,0.004518160992317397
Mean,4,15,0.005091211770412515
Mean,4,16,-0.002395044861535957
Mean,4,17,0.004873886863733704
Mean,4,18,-0.001637688956737388
Mean,4,19,-0.0008883218965947039
Mean,4,20,0.009650020138672704
Mean,4,21,-0.006589902470913589
Mean,4,22,-0.005463462286969569
Mean,4,23,0.0016575306651750565
Mean,4,24,-0.0019529388186527493
Mean,4,25,0.0002645113829076399
Mean,4,26,0.0028877483302449376
Mean,4,27,0.004710194889744621
Mean,4,28,0.00028004439973731456
Mean,4,29,0.0031544932213751725
Mean,4,30,0.000176830634133901
Mean,4,31,0.0011848476818939599
Mean,4,32,0.0013882205727144452
Mean,4,33,0.0005122768202132314
Mean,4,34,-0.0011004573030945616
Mean,4,35,-0.0032954232624840185
Mean,4,36,-0.001545217096699878
Mean,4,37,-0.002262507856485097
Mean,4,38,0.0012298924384480233
Mean,4,39,0.003819070331247119
Mean,5,0,0.009081271682269161
Mean,5,1,0.0036175662980935832
Mean,5,2,-0.0034132532980476436
Mean,5,3,0.002055100184674259
Mean,5,4,-0.002970454652484145
Mean,5,5,-0.0012804143152288644
Mean,5,6,0.001134753697168981
Mean,5,7,0.00869508627807649
Mean,5,8,-0.0004203546540892866
Mean,5,9,0.00670835866625493
Mean,5,10,-0.004793363579336279
Mean,5,11,-0.001768829814377401
Mean,5,12,0.0018146673148145337
Mean,5,13,0.0045123708757144375
Mean,5,14,0.005167685450144997
Mean,5,15,-0.0024514692997930857
Mean,5,16,0.0048525324171951436
Mean,5,17,-0.0016185942053012952
Mean,5,18,-0.0008388672653205885
Mean,5,19,0.009705459717721597
Mean,5,20,-0.006616759238405595
Mean,5,21,-0.00541264574793269
Mean,5,22,0.0016389354763476317
Mean,5,23,-0.001962825548427343
Mean,5,24,0.0003640427466780503
Mean,5,25,0.0028192608970294395
Mean,5,26,0.004654982523088838
Mean,5,27,0.0002969602580478207
Mean,5,28,0.003135229001168614
Mean,5,29,0.00018065964927777272
Mean,5,30,0.0012134057405702014
Mean,5,31,0.0014332220744242598
Mean,5,32,0.0005143903444457445
Mean,5,33,-0.001071447952890668
Mean,5,34,-0.0032947489802474623
Mean,5,35,-0.001534957383519218
Mean,5,36,-0.002250157730770778
Mean,5,37,0.0012340741052560035
Mean,5,38,0.0038089088619585234
Mean,5,39,8.789663668951932e-05
Mean,6,0,0.0037746905979818613
Mean,6,1,-0.0033926628556133175
Mean,6,2,0.002221668193184757
Mean,6,3,-0.0025873498244068397
Mean,6,4,-0.0010416380493031459
Mean,6,5,0.0012387935412386357
